Unnamed: 0,Unnamed: 0.1,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count,compoundVader,compoundTextBlob,compoundChatGPT
16,16,2022-09-14 21:23:19+00:00,https://twitter.com/JulyE_21/status/1570161294908723200,JulyE_21,Twitter for iPhone,,eth bullish   the ethereum merge is set to take place this week. what investors should know about it | nextadvisor with time ,1,0,0,1,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.7
21,21,2022-09-14 20:42:06+00:00,https://twitter.com/DukeBitcoin/status/1570150920754966528,DukeBitcoin,Twitter for Android,Follow me...,"falta pouco para o merge do eth, se perder o suporte,  queda infinita. ",0,0,1,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",-0.8
22,22,2022-09-14 20:41:36+00:00,https://twitter.com/JungleSmith1/status/1570150795617738754,JungleSmith1,Twitter for iPhone,,"_______ on eth merge, bullish on aptos",3,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.5
28,28,2022-09-14 20:00:03+00:00,https://twitter.com/CryptoMarketInd/status/1570140339658268672,CryptoMarketInd,CryptoMarketIndex,Global,"the eth sentiment for sep 14, 2022 @ 16:00 edt is  59% bullish   bullmarket    eth cryptomarket cryptonews",0,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.59
31,31,2022-09-14 19:44:04+00:00,https://twitter.com/ClassicDragon_/status/1570136318025560066,ClassicDragon_,Twitter Web App,,most bullish chart of the week   buy here:   etc etcgem 100xgem classicdragon cryptocurrency etc ethereum altcoin 100xgem crypto eth $eth $btc $dragon altcoin memecoin 100x cryptoworld ,15,6,2,5,0.0,"Sentiment(polarity=0.5, subjectivity=0.5)",0.8
586,586,2022-09-09 20:00:03+00:00,https://twitter.com/CryptoMarketInd/status/1568328401122988033,CryptoMarketInd,CryptoMarketIndex,Global,"the eth sentiment for sep 09, 2022 @ 16:00 edt is  71% bullish   bullmarket    eth cryptomarket cryptonews",0,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.71
527,527,2022-09-10 14:30:41+00:00,https://twitter.com/Ada28587778/status/1568607899659780096,Ada28587778,Twitter for Android,,  i'm bullish!!!  zukuverse enterthejungle zuku eth nftcommunity  ,2,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.8
534,534,2022-09-10 12:30:57+00:00,https://twitter.com/yokocrypto_/status/1568577767691718656,yokocrypto_,Twitter Web App,京都市,eth/usd update   eth flipped above the local resistance  local priority is bullish while we are above the one ,0,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.05)",0.8
86,86,2022-09-14 12:58:02+00:00,https://twitter.com/ICEBOYBILL/status/1570034134365634561,ICEBOYBILL,Twitter for Android,,i'm bullish on $eth merge  eth cryptocurrencies,0,0,0,1,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.7
480,480,2022-09-11 00:07:34+00:00,https://twitter.com/HariTheodore/status/1568753077838118912,HariTheodore,Twitter Web App,,who else is bullish on eth merge,0,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.7
518,518,2022-09-10 16:40:31+00:00,https://twitter.com/CrypToomas/status/1568640576010031105,CrypToomas,Twitter for iPhone,Netherlands ,im bullish on $etc after the eth merge.,6,2,0,2,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.8
487,487,2022-09-10 23:44:36+00:00,https://twitter.com/Nishant_Bliss/status/1568747298104156161,Nishant_Bliss,Twitter for iPhone,"Kota, Rajasthan","bearish on eth, bullish on $rvn.",31,1,2,4,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",-0.5
141,141,2022-09-13 22:58:49+00:00,https://twitter.com/Matthew32073304/status/1569822941025636352,Matthew32073304,Twitter for iPhone,United Kingdom, so buy  its oversold which is very bullish considering whats coming. ive bought the dip yonko luff dev usdc eth anime animeimpulseoc2022 cryptocurency,1,0,0,0,0.0,"Sentiment(polarity=0.2, subjectivity=0.3)",0.7
486,486,2022-09-10 23:48:30+00:00,https://twitter.com/AlecRapop/status/1568748279399325696,AlecRapop,Twitter for iPhone,United States,"eth merge is about to begin are you bullish or bearish? i am bullish for the next week or so, i think that may be followed by a sell off though. crypto ethmerge eth",1,0,0,4,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.5
485,485,2022-09-10 23:51:01+00:00,https://twitter.com/Ada28587778/status/1568748912256888832,Ada28587778,Twitter for Android,, bullish on zukuverse zukuverse enterthejungle zuku eth nftcommunity  ,4,0,0,4,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.75
144,144,2022-09-13 22:43:50+00:00,https://twitter.com/Matthew32073304/status/1569819169927102465,Matthew32073304,Twitter for iPhone,United Kingdom,  its oversold which is very bullish considering whats coming. ive bought the dip yonko luff dev usdc eth,2,0,0,1,0.0,"Sentiment(polarity=0.2, subjectivity=0.3)",0.7
145,145,2022-09-13 22:30:58+00:00,https://twitter.com/Shaolin_Wolf/status/1569815930040877058,Shaolin_Wolf,Twitter for iPhone,The Future, tothemoon bullish eth ,6,1,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.8
483,483,2022-09-10 23:53:15+00:00,https://twitter.com/Kilpat12388/status/1568749475723907072,Kilpat12388,Twitter for iPhone,New Zealand,bullish as fuk eth bullrun ,5,1,0,2,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.9
482,482,2022-09-10 23:53:23+00:00,https://twitter.com/b3grade/status/1568749507650945025,b3grade,Twitter for Android,,   bullish af on $rune  $rune   1000x 1000xgem 100x 100xgem crypto eth,0,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.8
147,147,2022-09-13 22:02:06+00:00,https://twitter.com/TradinginTime/status/1569808665565184002,TradinginTime,Tradeupdates,Donate to altoogle.eth,"ethereum $eth  over the last 7 days eth has  mostly been ranging between $1,596.85 &amp; $1,696.96 eth is looking bullish and is trending up  there is the potential for consolidation  level of interest(htf) target $2,230.35 altoogle",0,0,0,2,0.0,"Sentiment(polarity=0.16666666666666666, subjectivity=0.5222222222222223)",0.5
491,491,2022-09-10 22:35:02+00:00,https://twitter.com/bitcoinagile/status/1568729792660516865,bitcoinagile,bitcoinagile,Matter Doesn't Matter,bullish market structure shift on ethusdt for bybit:ethusdt by ocelot965 eth $eth  ,0,0,0,1,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.8
477,477,2022-09-11 01:52:24+00:00,https://twitter.com/BrilloGP/status/1568779462279581697,BrilloGP,Twitter Web App,Metaverse,eth at 1760 bearish on trend (abcd). probable target at 1600 with dip to local highs for resistance retest ethereum layer1 merge pos metaverse nft web3 dca hodl buythedip diamondhands fomo ,6,2,0,4,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.25
476,476,2022-09-11 01:55:40+00:00,https://twitter.com/CryptoEliteNews/status/1568780283024998400,CryptoEliteNews,CryptoEliteNews,,the eth merge: bull or bear? david debates jordi alexander  listen now (89 min) | let us know what you think!  eth newsletter bearish bullish  ,0,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.25
150,150,2022-09-13 21:22:13+00:00,https://twitter.com/BrilloGP/status/1569798629090787329,BrilloGP,Twitter Web App,Metaverse,matic at 0.86 bearish on trend (pullback). probable target at 0.80 (50ma) with bounce to local highs for resistance retest polygon layer2 eth merge pos staking dex defi disney fomo ,1,1,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.86
465,465,2022-09-11 05:15:35+00:00,https://twitter.com/OyoshiSakamoto/status/1568830592757944321,OyoshiSakamoto,Twitter Web App,,_pepe links:   - bullish chart - degen community - based dev - 47% of supply token burned  $ching chingon eth 1000xgem memecoin  skull    _bitlord7 ,2,2,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.5
151,151,2022-09-13 21:03:04+00:00,https://twitter.com/KrispNaztyFarms/status/1569793809084473352,KrispNaztyFarms,Twitter for Android,"Fort Smith, AR",  _investing  $eth $wpt eth bullish,1,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.5
154,154,2022-09-13 20:54:49+00:00,https://twitter.com/BrilloGP/status/1569791733940260864,BrilloGP,Twitter Web App,Metaverse,dot at 7.30 bearish on trend (pullback). probable target at 7.00 with bounce to local highs (20ma) for resistance retest polkadot layer1 eth merge pos staking dex defi fomo ,1,1,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.2
155,155,2022-09-13 20:53:13+00:00,https://twitter.com/BrilloGP/status/1569791330745995264,BrilloGP,Twitter Web App,Metaverse,uni at 6.25 bearish on trend (pullback). probable target at 6.00 with bounce to local highs for resistance retest uniswap layer2 merge eth pos staking dex defi fomo ,1,1,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.25
463,463,2022-09-11 05:51:41+00:00,https://twitter.com/bitcoinagile/status/1568839677162954752,bitcoinagile,bitcoinagile,Matter Doesn't Matter,eth can go bullish after a retest or without a retest for binance:ethusdt by farooq123 eth $eth  ,0,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.5
156,156,2022-09-13 20:34:42+00:00,https://twitter.com/Charpleton/status/1569786673097211904,Charpleton,Twitter for iPhone,"Hem-Monacu, France","the eth merge will not have the bullish effect people expect, its not that poignant short term eth",1,0,1,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.4)",0.2
489,489,2022-09-10 22:50:14+00:00,https://twitter.com/kripto_zey/status/1568733617068855296,kripto_zey,Twitter Web App,Türkiye,eth bullish yapsn koruyor. 1820 ye temas grebiliriz. ,6,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.5
285,285,2022-09-12 22:53:18+00:00,https://twitter.com/Ada28587778/status/1569459162282885122,Ada28587778,Twitter for Android,, bullish zukuverse enterthejungle zuku eth nftcommunity  ,3,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.7
135,135,2022-09-14 00:26:25+00:00,https://twitter.com/DanOliverTweets/status/1569844985926664192,DanOliverTweets,Twitter for Android,,there's still time to get in early on my collection.  each work was hand-drawn by me.  each person tells a story.  this series is ripe to explode!    get in while you can.      nft nfts eth art nftcollector artbuy minimalism theminimalists,7,1,1,0,0.0,"Sentiment(polarity=0.125, subjectivity=0.3)",0.8
113,113,2022-09-14 06:13:08+00:00,https://twitter.com/startinginvest_/status/1569932238493724672,startinginvest_,Twitter Web App,BE,ethereum corrigeerde lager onder $1.650 ten opzichte van de amerikaanse dollar. eth moet boven de $1.550 ondersteuningszone blijven om een scherpe bearish omkering te voorkomen.  ethereum begon een belangrijke neerwaartse correctie en handelde onder het niveau van $1.650. ,1,0,0,1,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",-0.5
90,90,2022-09-14 12:00:03+00:00,https://twitter.com/CryptoMarketInd/status/1570019541949861890,CryptoMarketInd,CryptoMarketIndex,Global,"the eth sentiment for sep 14, 2022 @ 08:00 edt is  51% bullish   bullmarket    eth cryptomarket cryptonews",0,0,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.51
512,512,2022-09-10 18:07:24+00:00,https://twitter.com/AdamEShelton/status/1568662438517641219,AdamEShelton,Twitter Web App,"Daytona Beach, FL",ethereum hive is exploding!  via   eth,5,0,0,7,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.8
92,92,2022-09-14 11:30:16+00:00,https://twitter.com/noahcryptoyt/status/1570012048263872514,noahcryptoyt,Twitter for iPhone,Kadena Germany,"$arkd tge or eth merge, what are you more bullish on?",7,0,1,5,0.0,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5
94,94,2022-09-14 11:07:44+00:00,https://twitter.com/bitcoinagile/status/1570006377975939072,bitcoinagile,bitcoinagile,Matter Doesn't Matter,ethusd potential for bullish trend  14th sept 2022 for coinbase:ethusd by fxcm eth $eth  ,0,1,0,0,0.0,"Sentiment(polarity=0.0, subjectivity=1.0)",0.6
106,106,2022-09-14 08:49:05+00:00,https://twitter.com/DU09BTC/status/1569971487544844288,DU09BTC,Twitter for iPhone,Your Crypto Community | YCC →,are you bullish or bearish on eth merge day?,8,0,1,11,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.5
127,127,2022-09-14 02:33:07+00:00,https://twitter.com/Chris_Wealths/status/1569876872330199042,Chris_Wealths,Twitter for Android,,_faith  bullish zukuverse enterthejungle zuku eth nftcommunity  ,3,0,0,1,0.0,"Sentiment(polarity=0.0, subjectivity=0.0)",0.5
